ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
967;Talisia hemidasya;Sapindaceae;Talisia;Radlk.;http://www.tropicos.org/Name/28600504;tree;0;0;0;0;0;0;0;1;0;0;0;24;6;13135442;7;12;0;NA;NA;0;0;Least Concern;2020;NA;VU;VU;EN;EN;EN;EN;EN;GS;0
968;Talisia longifolia;Sapindaceae;Talisia;(Benth.) Radlk.;http://www.tropicos.org/Name/50202461;tree;0;0;0;0;0;0;0;1;0;0;0;86;34;19688389;7;29;0;NA;NA;0;0;Least Concern;2020;VU;EN;CR;CR;CR;CR;CR;CR;SA;0
969;Talisia macrophylla;Sapindaceae;Talisia;(Mart.) Radlk.;http://www.tropicos.org/Name/28600551;tree;0;0;0;0;0;0;0;1;0;0;0;38;30;20141536;7;3;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
970;Talisia megaphylla;Sapindaceae;Talisia;Sagot ex Radlk.;http://www.tropicos.org/Name/28600508;tree;0;0;0;0;0;0;0;1;0;0;0;25;18;5202383;6;72;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
971;Talisia microphylla;Sapindaceae;Talisia;Uittien;http://www.tropicos.org/Name/50173657;tree;0;0;0;0;0;0;0;1;0;0;0;70;45;9737416;6;99;0;NA;NA;0;0;NA;NA;VU;EN;CR;CR;CR;CR;CR;CR;GS;0
972;Talisia mollis;Sapindaceae;Talisia;Kunth ex Cambess.;http://www.tropicos.org/Name/28600509;tree;0;0;0;0;0;0;0;1;0;0;0;75;28;15310809;7;18;0;NA;NA;0;0;Least Concern;2020;VU;VU;EN;CR;EN;CR;CR;CR;GS;0
973;Talisia praealta;Sapindaceae;Talisia;Sagot ex Radlk.;http://www.tropicos.org/Name/28600516;tree;0;0;0;0;0;0;0;1;0;0;1;43;31;4814323;6;68;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
974;Talisia simaboides;Sapindaceae;Talisia;K.U. Kramer;http://www.tropicos.org/Name/50202463;tree;0;0;0;0;0;0;0;1;0;0;0;59;45;6222777;6;79;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
975;Talisia sylvatica;Sapindaceae;Talisia;(Aubl.) Radlk.;http://www.tropicos.org/Name/28601471;tree;0;0;0;0;0;0;0;1;0;0;0;129;15;40378609;7;61;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
976;Tapirira guianensis;Anacardiaceae;Tapirira;Aubl.;http://www.tropicos.org/Name/1300281;tree;1;1;1;1;0;0;0;1;0;1;1;2495;642;900487273;8;95;1;3;0.24;0;1;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;SA;0
977;Tapirira obtusa;Anacardiaceae;Tapirira;(Benth.) J.D. Mitch.;http://www.tropicos.org/Name/1300959;tree;0;0;0;0;0;0;0;0;0;0;1;572;198;152229773;8;18;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
978;Tapura capitulifera;Dichapetalaceae;Tapura;Spruce ex Baill.;http://www.tropicos.org/Name/10600020;tree;0;0;0;0;0;0;0;1;0;0;1;171;38;16550979;7;22;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;VU;EN;EN;EN;GS;0
979;Tapura guianensis;Dichapetalaceae;Tapura;Aubl.;http://www.tropicos.org/Name/10600063;tree;0;0;0;0;0;0;0;1;0;0;0;682;147;135570057;8;13;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;EN;EN;EN;EN;EN;GS;0
980;Taralea oppositifolia;Fabaceae;Taralea;Aubl.;http://www.tropicos.org/Name/13001913;tree;0;0;1;0;0;0;1;0;0;0;1;734;137;321668183;8;51;0;NA;NA;0;1;Least Concern;2020;NA;VU;VU;VU;VU;VU;VU;EN;GS;0
981;Terminalia amazonia;Combretaceae;Terminalia;(J.F. Gmel.) Exell;http://www.tropicos.org/Name/8200207;tree;1;1;1;1;0;1;1;1;1;1;1;588;203;182410231;8;26;0;NA;NA;0;1;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;GS;0
982;Terminalia dichotoma;Combretaceae;Terminalia;G. Mey.;http://www.tropicos.org/Name/8200224;tree;0;0;0;0;0;0;0;1;0;0;0;416;95;116300371;8;7;0;NA;NA;0;0;Least Concern;2020;VU;VU;EN;EN;EN;EN;EN;CR;GS;0
983;Terminalia guyanensis;Combretaceae;Terminalia;Eichler;http://www.tropicos.org/Name/8200091;tree;0;0;0;0;0;0;0;1;1;1;1;173;59;37300449;7;57;0;NA;NA;0;0;NA;NA;NA;VU;VU;EN;VU;EN;EN;EN;GS;0
984;Terminalia lucida;Combretaceae;Terminalia;Hoffmanns. ex Mart. & Zucc.;http://www.tropicos.org/Name/8200453;tree;0;0;0;0;0;0;0;1;0;0;0;2;2;521304;5;72;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;VU;EN;CR;EN;CR;SA;0
